Created as New Dataset,Sample 004 By Administrator Date Thursday, March 26 2020
cm-1,%T
5842.88,82.02
5842.75,82.02
5842.63,82.01
5842.50,82.01
5842.38,82.03
5842.25,82.05
5842.13,82.05
5842.00,82.04
5841.88,82.02
5841.75,81.99
5841.63,81.95
5841.50,81.94
5841.38,81.96
5841.25,82.03
5841.13,82.10
5841.00,82.15
5840.88,82.16
5840.75,82.14
5840.63,82.10
5840.50,82.08
5840.38,82.07
5840.25,82.06
5840.13,82.05
5840.00,82.04
5839.88,82.03
5839.75,82.02
5839.63,82.02
5839.50,82.01
5839.38,82.00
5839.25,82.01
5839.13,82.03
5839.00,82.03
5838.88,82.02
5838.75,82.00
5838.63,81.99
5838.50,81.98
5838.38,81.98
5838.25,81.99
5838.13,82.01
5838.00,82.05
5837.88,82.07
5837.75,82.06
5837.63,82.03
5837.50,81.99
5837.38,81.95
5837.25,81.91
5837.13,81.90
5837.00,81.90
5836.88,81.93
5836.75,81.97
5836.63,82.03
5836.50,82.09
5836.38,82.13
5836.25,82.12
5836.13,82.07
5836.00,82.01
5835.88,81.97
5835.75,81.96
5835.63,81.98
5835.50,82.01
5835.38,82.02
5835.25,82.02
5835.13,82.02
5835.00,82.03
5834.88,82.04
5834.75,82.03
5834.63,82.01
5834.50,81.99
5834.38,81.99
5834.25,82.00
5834.13,82.01
5834.00,82.02
5833.88,82.04
5833.75,82.06
5833.63,82.06
5833.50,82.06
5833.38,82.05
5833.25,82.06
5833.13,82.07
5833.00,82.08
5832.88,82.08
5832.75,82.07
5832.63,82.05
5832.50,82.03
5832.38,82.03
5832.25,82.04
5832.13,82.06
5832.00,82.07
5831.88,82.05
5831.75,82.02
5831.63,82.00
5831.50,81.98
5831.38,81.99
5831.25,82.01
5831.13,82.04
5831.00,82.07
5830.88,82.06
5830.75,82.04
5830.63,82.03
5830.50,82.06
5830.38,82.08
5830.25,82.08
5830.13,82.06
5830.00,82.03
5829.88,82.02
5829.75,82.01
5829.63,82.00
5829.50,82.00
5829.38,82.01
5829.25,82.01
5829.13,82.00
5829.00,82.00
5828.88,82.01
5828.75,82.01
5828.63,82.02
5828.50,82.02
5828.38,82.03
5828.25,82.00
5828.13,81.95
5828.00,81.90
5827.88,81.88
5827.75,81.88
5827.63,81.91
5827.50,81.97
5827.38,82.03
5827.25,82.06
5827.13,82.05
