Data from roomtemp1_322 nm__0__15-20-41-799.txt Node

Standard Time	Epoch Time		Value
HH:MM:SS:000	(msec 1970)
15:21:32.781	1743805292781	-0.01811
15:21:32.801	1743805292801	-0.00681
15:21:32.820	1743805292820	-0.02175
15:21:32.839	1743805292839	-0.01324
15:21:32.859	1743805292859	-0.01634
15:21:32.879	1743805292879	-0.01121
15:21:32.898	1743805292898	-0.02295
15:21:32.917	1743805292917	-0.01371
15:21:32.937	1743805292937	-0.01896
15:21:32.957	1743805292957	-0.01768
15:21:32.976	1743805292976	-0.02033
15:21:32.995	1743805292995	-0.01544
15:21:33.015	1743805293015	-0.01758
15:21:33.034	1743805293034	-0.02319
15:21:33.054	1743805293054	-0.0178
15:21:33.073	1743805293073	-0.0159
15:21:33.093	1743805293093	-0.01566
15:21:33.112	1743805293112	-0.01821
15:21:33.132	1743805293132	-0.01593
15:21:33.151	1743805293151	-0.01968
15:21:33.170	1743805293170	-0.01327
15:21:33.190	1743805293190	-0.02242
15:21:33.209	1743805293209	-0.02515
15:21:33.229	1743805293229	-0.01578
15:21:33.248	1743805293248	-0.02072
15:21:33.268	1743805293268	-0.02264
15:21:33.288	1743805293288	-0.01493
15:21:33.307	1743805293307	-0.01816
15:21:33.326	1743805293326	-0.00802
15:21:33.345	1743805293345	-0.01683
15:21:33.365	1743805293365	-0.01985
15:21:33.384	1743805293384	-0.02151
15:21:33.404	1743805293404	-0.01312
15:21:33.423	1743805293423	-0.02002
15:21:33.443	1743805293443	-0.02146
15:21:33.462	1743805293462	-0.02084
15:21:33.481	1743805293481	-0.01351
15:21:33.501	1743805293501	-0.02457
15:21:33.521	1743805293521	-0.01025
15:21:33.540	1743805293540	-0.0178
15:21:33.559	1743805293559	-0.01658
15:21:33.579	1743805293579	-0.01148
15:21:33.598	1743805293598	-0.02002
15:21:33.618	1743805293618	-0.02004
15:21:33.637	1743805293637	-0.01143
15:21:33.657	1743805293657	-0.02479
15:21:33.676	1743805293676	-0.01364
15:21:33.695	1743805293695	-0.01624
15:21:33.729	1743805293729	-0.01782
15:21:33.754	1743805293754	-0.02084
15:21:33.773	1743805293773	-0.01615
15:21:33.793	1743805293793	-0.01256
15:21:33.812	1743805293812	-0.00971
15:21:33.832	1743805293832	-0.02457
15:21:33.851	1743805293851	-0.01627
15:21:33.871	1743805293871	-0.016
15:21:33.890	1743805293890	-0.01634
15:21:33.910	1743805293910	-0.01561
15:21:33.929	1743805293929	-0.01495
15:21:33.949	1743805293949	-0.02016
15:21:33.968	1743805293968	-0.0141
15:21:33.987	1743805293987	-0.0211
15:21:34.007	1743805294007	-0.02362
15:21:34.026	1743805294026	-0.02254
15:21:34.046	1743805294046	-0.00825
15:21:34.065	1743805294065	-0.01049
15:21:34.084	1743805294084	-0.02161
15:21:34.104	1743805294104	-0.01539
15:21:34.123	1743805294123	-0.02055
15:21:34.143	1743805294143	-0.01644
15:21:34.162	1743805294162	-0.02014
15:21:34.182	1743805294182	-0.02333
15:21:34.216	1743805294216	-0.02206
15:21:34.240	1743805294240	-0.02735
15:21:34.260	1743805294260	-0.0142
15:21:34.279	1743805294279	-0.02055
15:21:34.299	1743805294299	-0.01934
15:21:34.318	1743805294318	-0.01751
15:21:34.338	1743805294338	-0.01835
15:21:34.357	1743805294357	-0.01155
15:21:34.377	1743805294377	-0.01641
15:21:34.396	1743805294396	-0.02081
15:21:34.415	1743805294415	-0.0162
15:21:34.435	1743805294435	-0.02429
15:21:34.454	1743805294454	-0.01649
15:21:34.474	1743805294474	-0.01922
15:21:34.493	1743805294493	-0.02067
15:21:34.512	1743805294512	-0.01847
15:21:34.532	1743805294532	-0.00921
15:21:34.551	1743805294551	-0.01915
15:21:34.571	1743805294571	-0.01008
15:21:34.591	1743805294591	-0.01339
15:21:34.610	1743805294610	-0.01893
15:21:34.629	1743805294629	-0.02641
15:21:34.649	1743805294649	-0.02185
15:21:34.668	1743805294668	-0.01915
15:21:34.687	1743805294687	-0.02307
15:21:34.707	1743805294707	-0.01855
15:21:34.726	1743805294726	-0.01517
15:21:34.746	1743805294746	-0.01395
15:21:34.766	1743805294766	-0.01598
15:21:34.785	1743805294785	-0.01101
15:21:34.804	1743805294804	-0.02376
15:21:34.824	1743805294824	-0.0169
15:21:34.843	1743805294843	-0.02259
15:21:34.863	1743805294863	-0.02156
15:21:34.882	1743805294882	-0.01583
15:21:34.902	1743805294902	-0.01581
15:21:34.921	1743805294921	-0.01064
15:21:34.941	1743805294941	-0.02572
15:21:34.960	1743805294960	-0.02345
15:21:34.980	1743805294980	-0.01452
15:21:34.999	1743805294999	-0.02331
15:21:35.018	1743805295018	-0.0206
15:21:35.038	1743805295038	-0.02002
15:21:35.058	1743805295058	-0.01037
15:21:35.077	1743805295077	-0.01792
15:21:35.096	1743805295096	-0.02142
